route_key,iteration,n_feasible_ant_paths,best_cost,best_distance_m,best_path_node_ids
DB01_to_DK04_backward,0,129,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,1,212,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,2,247,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,3,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,4,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,5,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,6,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,7,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,8,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,9,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,10,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,11,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,12,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,13,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,14,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,15,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,16,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,17,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,18,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,19,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,20,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,21,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,22,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,23,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,24,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,25,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,26,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,27,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,28,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
DB01_to_DK04_backward,29,250,56.23914343274603,10829.946437923536,2956;4494;4479;3008;3204;2711;2811;4805;3476;4046;2329
