edge_key,x1,y1,x2,y2,edge_distance_m,edge_hit_count,edge_visit_count,pair_hit_count,direction_hit_count,route_ids,pairs,directions
9104|9105,724.1666666666666,4500.0,725.8333333333334,4500.0,50.0,60,60,10,2,DB01_to_DK02_forward_main_02;DB01_to_DK05_backward_backup_01;DB01_to_DK05_backward_main_01;DB01_to_DK05_backward_main_03;DB01_to_DK05_backward_main_04;DB01_to_DK05_forward_backup_01;DB01_to_DK05_forward_main_01;DB01_to_DK05_forward_main_02;DB02_to_DK05_backward_backup_01;DB02_to_DK05_backward_backup_02;DB02_to_DK05_backward_main_01;DB02_to_DK05_backward_main_02;DB02_to_DK05_backward_main_03;DB02_to_DK05_backward_main_04;DB02_to_DK05_forward_backup_01;DB02_to_DK05_forward_backup_02;DB02_to_DK05_forward_main_01;DB02_to_DK05_forward_main_02;DB02_to_DK05_forward_main_04;DK01_to_DK02_backward_main_02;DK01_to_DK02_forward_backup_02;DK01_to_DK05_backward_backup_01;DK01_to_DK05_backward_backup_02;DK01_to_DK05_backward_main_01;DK01_to_DK05_backward_main_02;DK01_to_DK05_backward_main_04;DK01_to_DK05_forward_backup_01;DK01_to_DK05_forward_backup_02;DK01_to_DK05_forward_main_01;DK01_to_DK05_forward_main_02;DK02_to_DK04_backward_backup_01;DK02_to_DK04_forward_main_02;DK02_to_DK05_backward_backup_01;DK02_to_DK05_backward_main_01;DK02_to_DK05_forward_backup_01;DK02_to_DK05_forward_main_01;DK03_to_DK05_backward_backup_01;DK03_to_DK05_backward_main_01;DK03_to_DK05_backward_main_03;DK03_to_DK05_backward_main_04;DK03_to_DK05_forward_backup_01;DK03_to_DK05_forward_main_01;DK03_to_DK05_forward_main_03;DK03_to_DK05_forward_main_04;DK04_to_DK05_backward_backup_01;DK04_to_DK05_backward_main_01;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK04_to_DK05_forward_backup_01;DK04_to_DK05_forward_backup_02;DK04_to_DK05_forward_main_01;DK04_to_DK05_forward_main_02;DK05_to_DK06_backward_backup_01;DK05_to_DK06_backward_main_01;DK05_to_DK06_backward_main_03;DK05_to_DK06_backward_main_04;DK05_to_DK06_forward_backup_01;DK05_to_DK06_forward_main_01;DK05_to_DK06_forward_main_03;DK05_to_DK06_forward_main_04,DB01_to_DK02;DB01_to_DK05;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK04;DK02_to_DK05;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward
2711|2811,4223.728813559322,1326.2711864406779,4226.271186440678,1323.7288135593221,70.71067811865476,59,59,7,2,DB01_to_DB02_backward_backup_01;DB01_to_DB02_backward_main_01;DB01_to_DB02_forward_backup_01;DB01_to_DB02_forward_backup_02;DB01_to_DB02_forward_main_01;DB01_to_DB02_forward_main_02;DB01_to_DB02_forward_main_04;DB02_to_DK01_backward_backup_01;DB02_to_DK01_backward_main_01;DB02_to_DK01_backward_main_03;DB02_to_DK01_backward_main_04;DB02_to_DK01_forward_backup_01;DB02_to_DK01_forward_backup_02;DB02_to_DK01_forward_main_01;DB02_to_DK01_forward_main_04;DB02_to_DK02_backward_backup_01;DB02_to_DK02_backward_main_01;DB02_to_DK02_backward_main_02;DB02_to_DK02_backward_main_04;DB02_to_DK02_forward_backup_01;DB02_to_DK02_forward_main_01;DB02_to_DK02_forward_main_03;DB02_to_DK02_forward_main_04;DB02_to_DK03_backward_backup_01;DB02_to_DK03_backward_main_01;DB02_to_DK03_backward_main_03;DB02_to_DK03_backward_main_04;DB02_to_DK03_forward_backup_01;DB02_to_DK03_forward_backup_02;DB02_to_DK03_forward_main_01;DB02_to_DK03_forward_main_03;DB02_to_DK03_forward_main_04;DB02_to_DK04_backward_backup_01;DB02_to_DK04_backward_main_01;DB02_to_DK04_backward_main_03;DB02_to_DK04_backward_main_04;DB02_to_DK04_forward_backup_01;DB02_to_DK04_forward_backup_02;DB02_to_DK04_forward_main_01;DB02_to_DK05_backward_backup_01;DB02_to_DK05_backward_backup_02;DB02_to_DK05_backward_main_01;DB02_to_DK05_backward_main_02;DB02_to_DK05_backward_main_03;DB02_to_DK05_backward_main_04;DB02_to_DK05_forward_backup_01;DB02_to_DK05_forward_backup_02;DB02_to_DK05_forward_main_01;DB02_to_DK05_forward_main_04;DB02_to_DK06_backward_backup_01;DB02_to_DK06_backward_backup_02;DB02_to_DK06_backward_main_01;DB02_to_DK06_backward_main_04;DB02_to_DK06_forward_backup_01;DB02_to_DK06_forward_backup_02;DB02_to_DK06_forward_main_01;DB02_to_DK06_forward_main_02;DB02_to_DK06_forward_main_03;DB02_to_DK06_forward_main_04,DB01_to_DB02;DB02_to_DK01;DB02_to_DK02;DB02_to_DK03;DB02_to_DK04;DB02_to_DK05;DB02_to_DK06,backward;forward
2956|3058,1373.9583333333333,1473.9583333333333,1376.0416666666667,1476.0416666666667,70.71067811865476,48,48,7,2,DB01_to_DB02_backward_backup_01;DB01_to_DB02_backward_main_01;DB01_to_DB02_backward_main_02;DB01_to_DB02_backward_main_04;DB01_to_DB02_forward_backup_01;DB01_to_DB02_forward_backup_02;DB01_to_DB02_forward_main_01;DB01_to_DB02_forward_main_02;DB01_to_DB02_forward_main_04;DB01_to_DK01_backward_main_02;DB01_to_DK01_backward_main_03;DB01_to_DK01_backward_main_04;DB01_to_DK01_forward_backup_01;DB01_to_DK01_forward_main_01;DB01_to_DK01_forward_main_04;DB01_to_DK02_backward_backup_01;DB01_to_DK02_backward_main_01;DB01_to_DK02_forward_backup_01;DB01_to_DK02_forward_main_01;DB01_to_DK02_forward_main_03;DB01_to_DK03_backward_backup_01;DB01_to_DK03_backward_main_01;DB01_to_DK03_backward_main_03;DB01_to_DK03_backward_main_04;DB01_to_DK03_forward_backup_01;DB01_to_DK03_forward_main_01;DB01_to_DK03_forward_main_02;DB01_to_DK03_forward_main_04;DB01_to_DK04_backward_backup_01;DB01_to_DK04_backward_main_01;DB01_to_DK04_forward_backup_01;DB01_to_DK04_forward_main_01;DB01_to_DK04_forward_main_02;DB01_to_DK05_backward_backup_01;DB01_to_DK05_backward_main_01;DB01_to_DK05_backward_main_03;DB01_to_DK05_backward_main_04;DB01_to_DK05_forward_backup_01;DB01_to_DK05_forward_main_01;DB01_to_DK05_forward_main_02;DB01_to_DK06_backward_backup_01;DB01_to_DK06_backward_main_01;DB01_to_DK06_backward_main_03;DB01_to_DK06_backward_main_04;DB01_to_DK06_forward_backup_01;DB01_to_DK06_forward_main_01;DB01_to_DK06_forward_main_03;DB01_to_DK06_forward_main_04,DB01_to_DB02;DB01_to_DK01;DB01_to_DK02;DB01_to_DK03;DB01_to_DK04;DB01_to_DK05;DB01_to_DK06,backward;forward
9105|9106,778.8888888888889,4500.0,771.1111111111111,4500.0,50.0,45,45,10,2,DB01_to_DK02_forward_main_02;DB01_to_DK05_backward_backup_01;DB01_to_DK05_forward_backup_01;DB01_to_DK05_forward_main_01;DB01_to_DK05_forward_main_02;DB02_to_DK05_backward_backup_01;DB02_to_DK05_backward_backup_02;DB02_to_DK05_backward_main_01;DB02_to_DK05_backward_main_02;DB02_to_DK05_forward_backup_01;DB02_to_DK05_forward_backup_02;DB02_to_DK05_forward_main_02;DK01_to_DK02_backward_main_02;DK01_to_DK02_forward_backup_02;DK01_to_DK05_backward_backup_01;DK01_to_DK05_backward_backup_02;DK01_to_DK05_backward_main_02;DK01_to_DK05_forward_backup_01;DK01_to_DK05_forward_backup_02;DK01_to_DK05_forward_main_01;DK01_to_DK05_forward_main_02;DK02_to_DK04_backward_backup_01;DK02_to_DK04_forward_main_02;DK02_to_DK05_backward_backup_01;DK02_to_DK05_forward_backup_01;DK02_to_DK05_forward_main_01;DK03_to_DK05_backward_backup_01;DK03_to_DK05_backward_main_03;DK03_to_DK05_backward_main_04;DK03_to_DK05_forward_backup_01;DK03_to_DK05_forward_main_01;DK03_to_DK05_forward_main_03;DK03_to_DK05_forward_main_04;DK04_to_DK05_backward_backup_01;DK04_to_DK05_forward_backup_01;DK04_to_DK05_forward_backup_02;DK04_to_DK05_forward_main_01;DK04_to_DK05_forward_main_02;DK05_to_DK06_backward_backup_01;DK05_to_DK06_backward_main_03;DK05_to_DK06_backward_main_04;DK05_to_DK06_forward_backup_01;DK05_to_DK06_forward_main_01;DK05_to_DK06_forward_main_03;DK05_to_DK06_forward_main_04,DB01_to_DK02;DB01_to_DK05;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK04;DK02_to_DK05;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward
3058|3160,1425.0,1525.0,1425.0,1525.0,70.71067811865476,40,40,7,2,DB01_to_DB02_backward_backup_01;DB01_to_DB02_backward_main_01;DB01_to_DB02_backward_main_04;DB01_to_DB02_forward_backup_01;DB01_to_DB02_forward_backup_02;DB01_to_DB02_forward_main_01;DB01_to_DB02_forward_main_02;DB01_to_DB02_forward_main_04;DB01_to_DK01_backward_main_02;DB01_to_DK01_backward_main_03;DB01_to_DK01_backward_main_04;DB01_to_DK01_forward_backup_01;DB01_to_DK01_forward_main_01;DB01_to_DK01_forward_main_04;DB01_to_DK02_backward_backup_01;DB01_to_DK02_backward_main_01;DB01_to_DK02_forward_backup_01;DB01_to_DK02_forward_main_01;DB01_to_DK03_backward_backup_01;DB01_to_DK03_backward_main_01;DB01_to_DK03_forward_backup_01;DB01_to_DK03_forward_main_01;DB01_to_DK04_backward_backup_01;DB01_to_DK04_backward_main_01;DB01_to_DK04_forward_backup_01;DB01_to_DK04_forward_main_01;DB01_to_DK05_backward_backup_01;DB01_to_DK05_backward_main_01;DB01_to_DK05_backward_main_03;DB01_to_DK05_backward_main_04;DB01_to_DK05_forward_backup_01;DB01_to_DK05_forward_main_01;DB01_to_DK06_backward_backup_01;DB01_to_DK06_backward_main_01;DB01_to_DK06_backward_main_03;DB01_to_DK06_backward_main_04;DB01_to_DK06_forward_backup_01;DB01_to_DK06_forward_main_01;DB01_to_DK06_forward_main_03;DB01_to_DK06_forward_main_04,DB01_to_DB02;DB01_to_DK01;DB01_to_DK02;DB01_to_DK03;DB01_to_DK04;DB01_to_DK05;DB01_to_DK06,backward;forward
9151|9253,3073.076923076923,4523.076923076923,3076.923076923077,4526.923076923077,70.71067811865477,39,39,7,2,DB01_to_DK03_backward_main_02;DB01_to_DK03_backward_main_03;DB01_to_DK03_backward_main_04;DB01_to_DK03_forward_backup_01;DB01_to_DK03_forward_main_01;DB01_to_DK03_forward_main_02;DB01_to_DK03_forward_main_04;DB02_to_DK03_backward_backup_01;DB02_to_DK03_backward_main_01;DB02_to_DK03_forward_backup_02;DB02_to_DK03_forward_main_02;DK01_to_DK03_backward_main_01;DK01_to_DK03_backward_main_03;DK01_to_DK03_forward_backup_01;DK01_to_DK03_forward_backup_03;DK01_to_DK03_forward_main_01;DK01_to_DK03_forward_main_03;DK02_to_DK03_backward_main_01;DK02_to_DK03_backward_main_03;DK02_to_DK03_backward_main_04;DK02_to_DK03_forward_backup_01;DK02_to_DK03_forward_main_01;DK02_to_DK03_forward_main_03;DK02_to_DK03_forward_main_04;DK03_to_DK04_backward_backup_02;DK03_to_DK04_backward_main_01;DK03_to_DK04_backward_main_02;DK03_to_DK04_backward_main_04;DK03_to_DK04_forward_backup_01;DK03_to_DK04_forward_main_01;DK03_to_DK04_forward_main_04;DK03_to_DK05_backward_main_01;DK03_to_DK05_forward_backup_01;DK03_to_DK05_forward_main_01;DK03_to_DK06_backward_backup_01;DK03_to_DK06_backward_main_01;DK03_to_DK06_forward_backup_01;DK03_to_DK06_forward_backup_02;DK03_to_DK06_forward_main_01,DB01_to_DK03;DB02_to_DK03;DK01_to_DK03;DK02_to_DK03;DK03_to_DK04;DK03_to_DK05;DK03_to_DK06,backward;forward
2811|2911,4180.0,1370.0,4170.0,1380.0,70.71067811865477,35,35,7,2,DB01_to_DB02_backward_backup_01;DB01_to_DB02_backward_main_01;DB01_to_DB02_forward_backup_01;DB01_to_DB02_forward_backup_02;DB01_to_DB02_forward_main_02;DB02_to_DK01_backward_main_01;DB02_to_DK01_backward_main_03;DB02_to_DK01_backward_main_04;DB02_to_DK01_forward_backup_01;DB02_to_DK01_forward_main_01;DB02_to_DK01_forward_main_04;DB02_to_DK02_backward_main_01;DB02_to_DK02_forward_backup_01;DB02_to_DK02_forward_main_01;DB02_to_DK02_forward_main_03;DB02_to_DK02_forward_main_04;DB02_to_DK03_backward_main_03;DB02_to_DK03_backward_main_04;DB02_to_DK03_forward_backup_01;DB02_to_DK03_forward_main_01;DB02_to_DK03_forward_main_03;DB02_to_DK03_forward_main_04;DB02_to_DK04_backward_main_01;DB02_to_DK04_forward_main_01;DB02_to_DK05_backward_backup_02;DB02_to_DK05_backward_main_01;DB02_to_DK05_forward_backup_01;DB02_to_DK05_forward_main_01;DB02_to_DK05_forward_main_04;DB02_to_DK06_backward_backup_02;DB02_to_DK06_backward_main_04;DB02_to_DK06_forward_backup_01;DB02_to_DK06_forward_backup_02;DB02_to_DK06_forward_main_01;DB02_to_DK06_forward_main_04,DB01_to_DB02;DB02_to_DK01;DB02_to_DK02;DB02_to_DK03;DB02_to_DK04;DB02_to_DK05;DB02_to_DK06,backward;forward
8086|8187,300.0,4021.875,300.0,4028.125,50.0,32,32,7,2,DB01_to_DK02_backward_main_02;DB01_to_DK02_forward_backup_01;DB01_to_DK02_forward_backup_02;DB01_to_DK02_forward_main_01;DB01_to_DK02_forward_main_02;DB02_to_DK02_backward_backup_01;DB02_to_DK02_backward_main_01;DB02_to_DK02_backward_main_02;DK01_to_DK02_backward_main_02;DK01_to_DK02_forward_backup_01;DK01_to_DK02_forward_backup_02;DK01_to_DK02_forward_main_01;DK01_to_DK02_forward_main_02;DK02_to_DK03_backward_main_03;DK02_to_DK03_backward_main_04;DK02_to_DK03_forward_backup_01;DK02_to_DK03_forward_main_01;DK02_to_DK03_forward_main_03;DK02_to_DK03_forward_main_04;DK02_to_DK04_backward_backup_01;DK02_to_DK04_backward_main_01;DK02_to_DK04_forward_backup_01;DK02_to_DK04_forward_main_01;DK02_to_DK04_forward_main_02;DK02_to_DK05_forward_backup_01;DK02_to_DK05_forward_main_01;DK02_to_DK06_backward_main_03;DK02_to_DK06_backward_main_04;DK02_to_DK06_forward_backup_01;DK02_to_DK06_forward_main_01;DK02_to_DK06_forward_main_03;DK02_to_DK06_forward_main_04,DB01_to_DK02;DB02_to_DK02;DK01_to_DK02;DK02_to_DK03;DK02_to_DK04;DK02_to_DK05;DK02_to_DK06,backward;forward
2329|2431,329.3103448275862,1179.3103448275863,320.6896551724138,1170.6896551724137,70.71067811865477,29,29,7,2,DB01_to_DK04_backward_main_03;DB01_to_DK04_backward_main_04;DB01_to_DK04_forward_backup_01;DB01_to_DK04_forward_backup_02;DB01_to_DK04_forward_main_01;DB01_to_DK04_forward_main_02;DB01_to_DK04_forward_main_04;DB02_to_DK04_backward_main_03;DB02_to_DK04_backward_main_04;DB02_to_DK04_forward_backup_01;DB02_to_DK04_forward_main_01;DB02_to_DK04_forward_main_03;DB02_to_DK04_forward_main_04;DK01_to_DK04_backward_backup_01;DK01_to_DK04_backward_main_01;DK01_to_DK04_forward_backup_02;DK02_to_DK04_backward_backup_01;DK02_to_DK04_forward_backup_02;DK02_to_DK04_forward_main_02;DK03_to_DK04_backward_backup_01;DK03_to_DK04_backward_main_01;DK03_to_DK04_forward_backup_02;DK04_to_DK05_backward_backup_01;DK04_to_DK05_backward_main_01;DK04_to_DK05_forward_backup_02;DK04_to_DK06_backward_backup_01;DK04_to_DK06_backward_main_01;DK04_to_DK06_forward_backup_02;DK04_to_DK06_forward_main_02,DB01_to_DK04;DB02_to_DK04;DK01_to_DK04;DK02_to_DK04;DK03_to_DK04;DK04_to_DK05;DK04_to_DK06,backward;forward
8719|8720,1675.0,4300.0,1675.0,4300.0,50.0,28,28,7,2,DB01_to_DK06_backward_backup_01;DB01_to_DK06_backward_main_01;DB01_to_DK06_forward_backup_01;DB01_to_DK06_forward_main_01;DB02_to_DK06_backward_backup_01;DB02_to_DK06_backward_main_01;DB02_to_DK06_forward_backup_01;DB02_to_DK06_forward_main_01;DK01_to_DK06_backward_backup_01;DK01_to_DK06_backward_main_01;DK01_to_DK06_backward_main_02;DK01_to_DK06_forward_backup_01;DK01_to_DK06_forward_backup_02;DK01_to_DK06_forward_main_01;DK01_to_DK06_forward_main_02;DK02_to_DK06_backward_main_01;DK02_to_DK06_forward_main_01;DK03_to_DK06_backward_backup_01;DK03_to_DK06_backward_main_01;DK03_to_DK06_backward_main_04;DK03_to_DK06_forward_main_01;DK03_to_DK06_forward_main_02;DK04_to_DK06_backward_backup_01;DK04_to_DK06_backward_main_01;DK04_to_DK06_forward_backup_01;DK04_to_DK06_forward_main_01;DK05_to_DK06_backward_main_01;DK05_to_DK06_forward_main_01,DB01_to_DK06;DB02_to_DK06;DK01_to_DK06;DK02_to_DK06;DK03_to_DK06;DK04_to_DK06;DK05_to_DK06,backward;forward
2329|2430,300.0,1174.0740740740741,300.0,1175.9259259259259,50.0,27,27,7,2,DB01_to_DK04_backward_main_01;DB02_to_DK04_backward_backup_01;DB02_to_DK04_backward_main_01;DB02_to_DK04_forward_backup_02;DB02_to_DK04_forward_main_02;DK01_to_DK04_backward_main_03;DK01_to_DK04_backward_main_04;DK01_to_DK04_forward_main_01;DK01_to_DK04_forward_main_04;DK02_to_DK04_backward_main_03;DK02_to_DK04_backward_main_04;DK02_to_DK04_forward_main_01;DK02_to_DK04_forward_main_03;DK02_to_DK04_forward_main_04;DK03_to_DK04_backward_main_04;DK03_to_DK04_forward_main_01;DK03_to_DK04_forward_main_04;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK04_to_DK05_forward_backup_03;DK04_to_DK05_forward_main_01;DK04_to_DK05_forward_main_03;DK04_to_DK06_backward_main_03;DK04_to_DK06_backward_main_04;DK04_to_DK06_forward_main_01;DK04_to_DK06_forward_main_03;DK04_to_DK06_forward_main_04,DB01_to_DK04;DB02_to_DK04;DK01_to_DK04;DK02_to_DK04;DK03_to_DK04;DK04_to_DK05;DK04_to_DK06,backward;forward
2430|2531,300.0,1224.0740740740741,300.0,1225.9259259259259,50.0,27,27,7,2,DB01_to_DK04_backward_main_01;DB02_to_DK04_backward_backup_01;DB02_to_DK04_backward_main_01;DB02_to_DK04_forward_backup_02;DB02_to_DK04_forward_main_02;DK01_to_DK04_backward_main_03;DK01_to_DK04_backward_main_04;DK01_to_DK04_forward_main_01;DK01_to_DK04_forward_main_04;DK02_to_DK04_backward_main_03;DK02_to_DK04_backward_main_04;DK02_to_DK04_forward_main_01;DK02_to_DK04_forward_main_03;DK02_to_DK04_forward_main_04;DK03_to_DK04_backward_main_04;DK03_to_DK04_forward_main_01;DK03_to_DK04_forward_main_04;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK04_to_DK05_forward_backup_03;DK04_to_DK05_forward_main_01;DK04_to_DK05_forward_main_03;DK04_to_DK06_backward_main_03;DK04_to_DK06_backward_main_04;DK04_to_DK06_forward_main_01;DK04_to_DK06_forward_main_03;DK04_to_DK06_forward_main_04,DB01_to_DK04;DB02_to_DK04;DK01_to_DK04;DK02_to_DK04;DK03_to_DK04;DK04_to_DK05;DK04_to_DK06,backward;forward
8720|8721,1724.0740740740741,4300.0,1725.9259259259259,4300.0,50.0,27,27,7,2,DB01_to_DK06_backward_backup_01;DB01_to_DK06_backward_main_01;DB01_to_DK06_forward_backup_01;DB01_to_DK06_forward_main_01;DB02_to_DK06_backward_backup_01;DB02_to_DK06_backward_main_01;DB02_to_DK06_forward_backup_01;DB02_to_DK06_forward_main_01;DK01_to_DK06_backward_backup_01;DK01_to_DK06_backward_main_01;DK01_to_DK06_backward_main_02;DK01_to_DK06_forward_backup_01;DK01_to_DK06_forward_backup_02;DK01_to_DK06_forward_main_01;DK02_to_DK06_backward_main_01;DK02_to_DK06_forward_main_01;DK03_to_DK06_backward_backup_01;DK03_to_DK06_backward_main_01;DK03_to_DK06_backward_main_04;DK03_to_DK06_forward_main_01;DK03_to_DK06_forward_main_02;DK04_to_DK06_backward_backup_01;DK04_to_DK06_backward_main_01;DK04_to_DK06_forward_backup_01;DK04_to_DK06_forward_main_01;DK05_to_DK06_backward_main_01;DK05_to_DK06_forward_main_01,DB01_to_DK06;DB02_to_DK06;DK01_to_DK06;DK02_to_DK06;DK03_to_DK06;DK04_to_DK06;DK05_to_DK06,backward;forward
9106|9107,831.4814814814815,4500.0,818.5185185185185,4500.0,50.0,27,27,10,2,DB01_to_DK02_forward_main_02;DB01_to_DK05_forward_backup_01;DB01_to_DK05_forward_main_02;DB02_to_DK05_backward_backup_01;DB02_to_DK05_backward_backup_02;DB02_to_DK05_backward_main_02;DB02_to_DK05_forward_backup_02;DB02_to_DK05_forward_main_02;DK01_to_DK02_backward_main_02;DK01_to_DK02_forward_backup_02;DK01_to_DK05_backward_backup_02;DK01_to_DK05_backward_main_02;DK01_to_DK05_forward_backup_01;DK01_to_DK05_forward_backup_02;DK01_to_DK05_forward_main_02;DK02_to_DK04_backward_backup_01;DK02_to_DK04_forward_main_02;DK02_to_DK05_forward_backup_01;DK03_to_DK05_backward_main_03;DK03_to_DK05_backward_main_04;DK03_to_DK05_forward_backup_01;DK03_to_DK05_forward_main_03;DK03_to_DK05_forward_main_04;DK04_to_DK05_forward_backup_01;DK04_to_DK05_forward_backup_02;DK04_to_DK05_forward_main_02;DK05_to_DK06_forward_backup_01,DB01_to_DK02;DB01_to_DK05;DB02_to_DK05;DK01_to_DK02;DK01_to_DK05;DK02_to_DK04;DK02_to_DK05;DK03_to_DK05;DK04_to_DK05;DK05_to_DK06,backward;forward
7213|7214,2125.0,3550.0,2125.0,3550.0,50.0,26,26,7,2,DB01_to_DK01_backward_backup_01;DB01_to_DK01_backward_backup_02;DB01_to_DK01_backward_main_01;DB01_to_DK01_backward_main_02;DB01_to_DK01_forward_backup_01;DB01_to_DK01_forward_backup_02;DB01_to_DK01_forward_main_02;DB02_to_DK01_backward_backup_02;DB02_to_DK01_backward_main_02;DB02_to_DK01_forward_backup_01;DB02_to_DK01_forward_backup_02;DB02_to_DK01_forward_main_02;DK01_to_DK02_backward_backup_01;DK01_to_DK02_backward_backup_02;DK01_to_DK02_forward_backup_03;DK01_to_DK02_forward_main_03;DK01_to_DK03_backward_backup_01;DK01_to_DK03_forward_backup_02;DK01_to_DK04_backward_backup_01;DK01_to_DK04_forward_backup_02;DK01_to_DK04_forward_main_02;DK01_to_DK05_backward_backup_01;DK01_to_DK05_forward_backup_03;DK01_to_DK05_forward_main_03;DK01_to_DK06_backward_backup_01;DK01_to_DK06_backward_backup_02,DB01_to_DK01;DB02_to_DK01;DK01_to_DK02;DK01_to_DK03;DK01_to_DK04;DK01_to_DK05;DK01_to_DK06,backward;forward
2531|2632,300.0,1274.0,300.0,1276.0,50.0,25,25,7,2,DB01_to_DK04_backward_main_01;DB02_to_DK04_backward_backup_01;DB02_to_DK04_backward_main_01;DB02_to_DK04_forward_main_02;DK01_to_DK04_backward_main_03;DK01_to_DK04_backward_main_04;DK01_to_DK04_forward_main_01;DK01_to_DK04_forward_main_04;DK02_to_DK04_backward_main_03;DK02_to_DK04_backward_main_04;DK02_to_DK04_forward_main_01;DK02_to_DK04_forward_main_03;DK02_to_DK04_forward_main_04;DK03_to_DK04_backward_main_04;DK03_to_DK04_forward_main_01;DK03_to_DK04_forward_main_04;DK04_to_DK05_backward_main_03;DK04_to_DK05_backward_main_04;DK04_to_DK05_forward_main_01;DK04_to_DK05_forward_main_03;DK04_to_DK06_backward_main_03;DK04_to_DK06_backward_main_04;DK04_to_DK06_forward_main_01;DK04_to_DK06_forward_main_03;DK04_to_DK06_forward_main_04,DB01_to_DK04;DB02_to_DK04;DK01_to_DK04;DK02_to_DK04;DK03_to_DK04;DK04_to_DK05;DK04_to_DK06,backward;forward
3160|3262,1476.0,1576.0,1474.0,1574.0,70.71067811865476,25,25,7,2,DB01_to_DB02_backward_main_01;DB01_to_DB02_backward_main_04;DB01_to_DB02_forward_main_01;DB01_to_DB02_forward_main_02;DB01_to_DB02_forward_main_04;DB01_to_DK01_backward_main_03;DB01_to_DK01_backward_main_04;DB01_to_DK01_forward_main_01;DB01_to_DK01_forward_main_04;DB01_to_DK02_backward_main_01;DB01_to_DK02_forward_main_01;DB01_to_DK03_backward_main_01;DB01_to_DK03_forward_main_01;DB01_to_DK04_backward_main_01;DB01_to_DK04_forward_main_01;DB01_to_DK05_backward_main_01;DB01_to_DK05_backward_main_03;DB01_to_DK05_backward_main_04;DB01_to_DK05_forward_main_01;DB01_to_DK06_backward_main_01;DB01_to_DK06_backward_main_03;DB01_to_DK06_backward_main_04;DB01_to_DK06_forward_main_01;DB01_to_DK06_forward_main_03;DB01_to_DK06_forward_main_04,DB01_to_DB02;DB01_to_DK01;DB01_to_DK02;DB01_to_DK03;DB01_to_DK04;DB01_to_DK05;DB01_to_DK06,backward;forward
3262|3364,1526.0,1626.0,1524.0,1624.0,70.71067811865476,25,25,7,2,DB01_to_DB02_backward_main_01;DB01_to_DB02_backward_main_04;DB01_to_DB02_forward_main_01;DB01_to_DB02_forward_main_02;DB01_to_DB02_forward_main_04;DB01_to_DK01_backward_main_03;DB01_to_DK01_backward_main_04;DB01_to_DK01_forward_main_01;DB01_to_DK01_forward_main_04;DB01_to_DK02_backward_main_01;DB01_to_DK02_forward_main_01;DB01_to_DK03_backward_main_01;DB01_to_DK03_forward_main_01;DB01_to_DK04_backward_main_01;DB01_to_DK04_forward_main_01;DB01_to_DK05_backward_main_01;DB01_to_DK05_backward_main_03;DB01_to_DK05_backward_main_04;DB01_to_DK05_forward_main_01;DB01_to_DK06_backward_main_01;DB01_to_DK06_backward_main_03;DB01_to_DK06_backward_main_04;DB01_to_DK06_forward_main_01;DB01_to_DK06_forward_main_03;DB01_to_DK06_forward_main_04,DB01_to_DB02;DB01_to_DK01;DB01_to_DK02;DB01_to_DK03;DB01_to_DK04;DB01_to_DK05;DB01_to_DK06,backward;forward
8721|8722,1774.0,4300.0,1776.0,4300.0,50.0,25,25,7,2,DB01_to_DK06_backward_backup_01;DB01_to_DK06_backward_main_01;DB01_to_DK06_forward_backup_01;DB01_to_DK06_forward_main_01;DB02_to_DK06_backward_backup_01;DB02_to_DK06_backward_main_01;DB02_to_DK06_forward_backup_01;DB02_to_DK06_forward_main_01;DK01_to_DK06_backward_backup_01;DK01_to_DK06_backward_main_01;DK01_to_DK06_backward_main_02;DK01_to_DK06_forward_backup_01;DK01_to_DK06_forward_main_01;DK02_to_DK06_backward_main_01;DK02_to_DK06_forward_main_01;DK03_to_DK06_backward_backup_01;DK03_to_DK06_backward_main_01;DK03_to_DK06_forward_main_01;DK03_to_DK06_forward_main_02;DK04_to_DK06_backward_backup_01;DK04_to_DK06_backward_main_01;DK04_to_DK06_forward_backup_01;DK04_to_DK06_forward_main_01;DK05_to_DK06_backward_main_01;DK05_to_DK06_forward_main_01,DB01_to_DK06;DB02_to_DK06;DK01_to_DK06;DK02_to_DK06;DK03_to_DK06;DK04_to_DK06;DK05_to_DK06,backward;forward
