seq,pair,direction,route_type,node_id,x,y,z,slowness,slowness_raw,flz_support,emergency_risk,risk_obstacle,risk_ra,risk_total,obstacle_flag,ra_flag,objective_flag,label,label_prefix
0,DK03_to_DK05,backward,main,9104,700.0,4500.0,0.0,0.08166625965751947,0.085,0.09805118654354497,0.9019488134564551,0.0,0.0,0.0,0,0,1,DK05,DK
1,DK03_to_DK05,backward,main,9105,750.0,4500.0,0.0,0.08121499190869562,0.085,0.11132376739130573,0.8886762326086943,0.0,0.0,0.0,0,0,0,NONE,NONE
2,DK03_to_DK05,backward,main,9005,800.0,4450.0,0.0,0.08055755778069178,0.085,0.13066006527377144,0.8693399347262285,0.0,0.0,0.0,0,0,0,NONE,NONE
3,DK03_to_DK05,backward,main,8905,850.0,4400.0,0.0,0.07982650733315534,0.085,0.1521615490248429,0.8478384509751571,0.0,0.0,0.0,0,0,0,NONE,NONE
4,DK03_to_DK05,backward,main,8805,900.0,4350.0,0.0,0.07902204058597233,0.085,0.17582233570669614,0.8241776642933039,0.0,0.0,0.0,0,0,0,NONE,NONE
5,DK03_to_DK05,backward,main,8705,950.0,4300.0,0.0,0.07814623576556864,0.085,0.20158130101268698,0.798418698987313,0.0,0.0,0.0,0,0,0,NONE,NONE
6,DK03_to_DK05,backward,main,8605,1000.0,4250.0,0.0,0.07720327109472605,0.085,0.22931555603746917,0.7706844439625309,0.0,0.0,0.0,0,0,0,NONE,NONE
7,DK03_to_DK05,backward,main,8504,1000.0,4200.0,0.0,0.07706500757286053,0.085,0.23338213020998438,0.7666178697900157,0.0,0.0,0.0,0,0,0,NONE,NONE
8,DK03_to_DK05,backward,main,8403,1000.0,4150.0,0.0,0.07695577635192591,0.085,0.2365948131786499,0.7634051868213501,0.0,0.0,0.0,0,0,0,NONE,NONE
9,DK03_to_DK05,backward,main,8303,1050.0,4100.0,0.0,0.07599089687386551,0.085,0.26497362135689667,0.7350263786431033,0.0,0.0,0.0,0,0,0,NONE,NONE
10,DK03_to_DK05,backward,main,8203,1100.0,4050.0,0.0,0.07498880191860426,0.085,0.2944470023939925,0.7055529976060075,0.0,0.0,0.0,0,0,0,NONE,NONE
