leg_id,lane,seq,x,y
BAK01__RBT01,A,0,2580.065013225809,902.5887308203331
BAK01__RBT01,A,1,2610.0594378234646,1452.1797919676699
BAK01__RBT01,A,2,2610.504129642182,1456.3305785421576
BAK01__RBT01,A,3,2611.3790001131847,1460.4124141169389
BAK01__RBT01,A,4,2612.6745203769565,1464.3808404104132
BAK01__RBT01,A,5,2614.3765799668577,1468.1926343651028
BAK01__RBT01,A,6,2616.466640496625,1471.8062789218475
BAK01__RBT01,A,7,2618.9219375756084,1475.1824152127158
BAK01__RBT01,A,8,2621.7157287525383,1478.284271247462
BAK01__RBT01,A,9,2769.766409177082,1626.334951672006
BAK01__RBT01,A,10,2863.17766365075,1749.7798097608895
BAK01__RBT01,B,0,2629.990715946478,899.863990860746
BAK01__RBT01,B,1,2659.776630199005,1445.6344945752742
BAK01__RBT01,B,2,2807.0710678118653,1592.9289321881345
BAK01__RBT01,B,3,2807.9742651490737,1593.965839301753
BAK01__RBT01,B,4,2932.0055817660423,1757.8757275120126
BAK01__RBT06,A,0,2601.849548592752,883.2229361036423
BAK01__RBT06,A,1,2247.438888130928,1257.6374842053979
BAK01__RBT06,B,0,2638.1616022119365,917.5949416016845
BAK01__RBT06,B,1,2249.1871960581907,1328.524105846988
BAK02__EXT03,A,0,839.9961686025666,990.1879594593835
BAK02__EXT03,A,1,19.37212003544872,-15.802561986341532
BAK02__EXT03,B,0,801.2519285316693,1021.7930834320665
BAK02__EXT03,B,1,-19.37212003544872,15.802561986341532
BAK02__EXT06,A,0,830.4328853231968,1004.0445714225757
BAK02__EXT06,A,1,759.8088367560789,648.0540499768507
BAK02__EXT06,A,2,759.5706241203576,647.1011805943057
BAK02__EXT06,A,3,759.240083164589,646.1762762767848
BAK02__EXT06,A,4,758.8204026349584,645.2882596254443
BAK02__EXT06,A,5,758.3156312118622,644.445697384162
BAK02__EXT06,A,6,757.7306384520728,643.6567177957043
BAK02__EXT06,A,7,757.0710678118654,642.9289321881346
BAK02__EXT06,A,8,660.0,545.8578643762692
BAK02__EXT06,A,9,660.0,500.0
BAK02__EXT06,A,10,659.951847266722,499.0198285967044
BAK02__EXT06,A,11,659.8078528040323,498.0490967798387
BAK02__EXT06,A,12,659.5694033573221,497.09715322745535
BAK02__EXT06,A,13,659.2387953251128,496.1731656763491
BAK02__EXT06,A,14,658.8192126434835,495.28603263174
BAK02__EXT06,A,15,658.3146961230254,494.444297669804
BAK02__EXT06,A,16,657.7301045336274,493.6560671583635
BAK02__EXT06,A,17,657.0710678118654,492.9289321881345
BAK02__EXT06,A,18,610.0,445.8578643762691
BAK02__EXT06,A,19,610.0,404.1421356237309
BAK02__EXT06,A,20,657.0710678118654,357.0710678118655
BAK02__EXT06,A,21,657.7301045336274,356.3439328416365
BAK02__EXT06,A,22,658.3146961230254,355.555702330196
BAK02__EXT06,A,23,658.8192126434835,354.71396736826
BAK02__EXT06,A,24,659.2387953251128,353.8268343236509
BAK02__EXT06,A,25,659.5694033573221,352.90284677254465
BAK02__EXT06,A,26,659.8078528040323,351.9509032201613
BAK02__EXT06,A,27,659.951847266722,350.9801714032956
BAK02__EXT06,A,28,660.0,350.0
BAK02__EXT06,A,29,660.0,254.1421356237309
BAK02__EXT06,A,30,806.0252404440743,108.11689517965667
BAK02__EXT06,A,31,1042.8136937233292,-18.707666729799904
BAK02__EXT06,B,0,781.3887015428022,1013.7743215383223
BAK02__EXT06,B,1,713.1279893415864,669.6965318365102
BAK02__EXT06,B,2,621.7157287525381,578.2842712474619
BAK02__EXT06,B,3,619.0795818654905,575.3757313665458
BAK02__EXT06,B,4,616.7412155078982,572.2228093207841
BAK02__EXT06,B,5,614.7231494260658,568.8558694730399
BAK02__EXT06,B,6,613.0448186995485,565.3073372946036
BAK02__EXT06,B,7,611.7223865707117,561.6113870901785
BAK02__EXT06,B,8,610.7685887838708,557.8036128806451
BAK02__EXT06,B,9,610.1926109331122,553.9206856131824
BAK02__EXT06,B,10,610.0,550.0
BAK02__EXT06,B,11,610.0,516.5685424949238
BAK02__EXT06,B,12,571.7157287525381,478.2842712474619
BAK02__EXT06,B,13,569.0795818654905,475.37573136654584
BAK02__EXT06,B,14,566.7412155078982,472.2228093207841
BAK02__EXT06,B,15,564.7231494260658,468.8558694730399
BAK02__EXT06,B,16,563.0448186995485,465.3073372946036
BAK02__EXT06,B,17,561.7223865707117,461.6113870901785
BAK02__EXT06,B,18,560.7685887838708,457.8036128806451
BAK02__EXT06,B,19,560.1926109331122,453.92068561318246
BAK02__EXT06,B,20,560.0,450.0
BAK02__EXT06,B,21,560.0,400.0
BAK02__EXT06,B,22,560.1926109331121,396.0793143868176
BAK02__EXT06,B,23,560.7685887838708,392.1963871193549
BAK02__EXT06,B,24,561.7223865707116,388.3886129098215
BAK02__EXT06,B,25,563.0448186995485,384.6926627053964
BAK02__EXT06,B,26,564.7231494260658,381.1441305269601
BAK02__EXT06,B,27,566.7412155078982,377.7771906792159
BAK02__EXT06,B,28,569.0795818654905,374.62426863345416
BAK02__EXT06,B,29,571.7157287525381,371.7157287525381
BAK02__EXT06,B,30,610.0,333.4314575050762
BAK02__EXT06,B,31,610.0,250.0
BAK02__EXT06,B,32,610.1926109331121,246.07931438681757
BAK02__EXT06,B,33,610.7685887838708,242.19638711935485
BAK02__EXT06,B,34,611.7223865707116,238.38861290982152
BAK02__EXT06,B,35,613.0448186995485,234.6926627053964
BAK02__EXT06,B,36,614.7231494260658,231.14413052696008
BAK02__EXT06,B,37,616.7412155078982,227.77719067921592
BAK02__EXT06,B,38,619.0795818654905,224.6242686334542
BAK02__EXT06,B,39,621.7157287525381,221.7157287525381
BAK02__EXT06,B,40,771.7157287525381,71.7157287525381
BAK02__EXT06,B,41,774.6155222051699,69.08676194437442
BAK02__EXT06,B,42,777.7583762932553,66.75379457911669
BAK02__EXT06,B,43,781.1141976613995,64.7391652108559
BAK02__EXT06,B,44,1019.2064408000787,-62.783710216230034
BAK02__RBT05,A,0,802.1288147917563,989.1701074319521
BAK02__RBT05,A,1,597.1679687629344,1214.5390406220029
BAK02__RBT05,B,0,839.1192823424796,1022.8109354594978
BAK02__RBT05,B,1,600.200181286538,1285.5193696163888
DB01__MIN017,A,0,1389.7417620931953,1487.8217054288282
DB01__MIN017,A,1,1819.3031081395989,965.8867874710702
DB01__MIN017,B,0,1351.1355458139976,1456.0481304866878
DB01__MIN017,B,1,1780.6968918604011,934.1132125289298
DB01__RBT05,A,0,1364.4315688008894,1463.9402367278321
DB01__RBT05,A,1,1196.6617440587293,1590.0
DB01__RBT05,A,2,904.142135623731,1590.0
DB01__RBT05,A,3,757.0710678118654,1442.9289321881345
DB01__RBT05,A,4,756.3875589347444,1442.305905455795
DB01__RBT05,A,5,755.6494142834279,1441.7486899067965
DB01__RBT05,A,6,754.8629475537899,1441.2620516659179
DB01__RBT05,A,7,754.0348857630046,1440.8501531772656
DB01__RBT05,A,8,753.1723117102259,1440.5165176009461
DB01__RBT05,A,9,752.2826033941006,1440.263998677833
DB01__RBT05,A,10,681.8832027377356,1423.758874493534
DB01__RBT05,B,0,1394.4669945644246,1503.913642877461
DB01__RBT05,B,1,1224.0283406108279,1631.978724919703
DB01__RBT05,B,2,1220.9869473750582,1634.0521370823703
DB01__RBT05,B,3,1217.7678325920592,1635.8371891333647
DB01__RBT05,B,4,1214.3982563511483,1637.3187649051602
DB01__RBT05,B,5,1210.9067528784967,1638.4843181263147
DB01__RBT05,B,6,1207.322888903759,1639.3239786657352
DB01__RBT05,B,7,1203.6770132832632,1639.8306361148639
DB01__RBT05,B,8,1200.0,1640.0
DB01__RBT05,B,9,900.0,1640.0
DB01__RBT05,B,10,896.0793143868176,1639.807389066888
DB01__RBT05,B,11,892.1963871193549,1639.2314112161291
DB01__RBT05,B,12,888.3886129098215,1638.2776134292883
